index_ndx,bathroom_label,bathrooms,bed_label,bedroom_label,bedrooms,beds,city,guest_label,id,is_new_listing,is_superhost,lat,lng,localized_city,person_capacity,property_type_id,room_and_property_type,room_type_category,room_type,space_type,tier_id,public_address,min_nights,max_nights,monthly_price_factor,rate_type,weekly_price_factor,rate_amount,rate_with_service_fee_amount,user_first_name,user_id,user_is_superhost,rawdata_file
35,1 bath,1.0,2 beds,Studio,0,2,Frisco,4 guests,21113061,False,True,39.57481,-106.1097,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,1.0,nightly,0.9,104.0,104.0, ,39088096,True,airbnb_rawdata_frisco_20200229.json
21,2 baths,2.0,1 bed,1 bedroom,1,1,Dillon,2 guests,21161419,False,True,39.628040000000006,-106.05061,Dillon,2,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,1,"Dillon, CO, United States",1,45,0.85,nightly,0.9,105.0,105.0, ,150328137,True,airbnb_rawdata_dillon_20200301.json
38,1 bath,1.0,1 bed,1 bedroom,1,1,Silverthorne,4 guests,21255267,False,True,39.619679999999995,-106.10795,Silverthorne,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Silverthorne, CO, United States",2,10,1.0,nightly,1.0,69.0,69.0, ,147594247,True,airbnb_rawdata_wildernest_20200229.json
8,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21260669,False,False,39.62964,-106.04002,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,1.0,nightly,0.86,75.0,75.0, ,10010429,False,airbnb_rawdata_dillon_20200303.json
47,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21280122,False,True,39.6303,-106.04247,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",2,14,1.0,nightly,1.0,110.0,110.0, ,61638910,True,airbnb_rawdata_dillon_20200227.json
19,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21281387,False,True,39.630759999999995,-106.03935,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,55.0,55.0, ,608092,True,airbnb_rawdata_dillon_20200302.json
3,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,21305207,False,True,39.63273,-106.04775,Dillon,3,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,7,1.0,nightly,0.83,90.0,90.0, ,44094444,True,airbnb_rawdata_dillon_20200304.json
14,1 bath,1.0,3 beds,1 bedroom,1,3,Silverthorne,5 guests,21325253,False,False,39.617259999999995,-106.10533000000001,Silverthorne,5,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Silverthorne, CO, United States",1,1125,1.0,nightly,1.0,83.0,83.0, ,28055699,False,airbnb_rawdata_wildernest_20200302.json
48,1 bath,1.0,3 beds,1 bedroom,1,3,Frisco,4 guests,21332053,False,False,39.57114,-106.10083,Frisco,4,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,0,"Frisco, CO, United States",1,28,1.0,nightly,1.0,169.0,169.0, ,112439312,False,airbnb_rawdata_frisco_20200301.json
16,1 bath,1.0,2 beds,Studio,0,2,Frisco,3 guests,21345453,False,True,39.58559,-106.09946000000001,Frisco,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Frisco, CO, United States",1,1125,0.58,nightly,0.75,68.0,68.0, ,27673701,True,airbnb_rawdata_frisco_20200229.json
32,1 bath,1.0,3 beds,1 bedroom,1,3,Frisco,6 guests,21380451,False,False,39.50121,-106.15883000000001,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,365,0.88,nightly,0.94,71.0,71.0, ,124616055,False,airbnb_rawdata_coppermountain_20200227.json
41,1 bath,1.0,4 beds,2 bedrooms,2,4,Silverthorne,6 guests,21414779,False,True,39.61916,-106.08805,Silverthorne,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,1125,0.9,nightly,0.95,92.0,92.0, ,57052312,True,airbnb_rawdata_wildernest_20200229.json
1,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,21419521,False,True,39.630759999999995,-106.03935,Dillon,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,1,"Dillon, CO, United States",2,1125,1.0,nightly,1.0,60.0,60.0, ,608092,True,airbnb_rawdata_dillon_20200229.json
44,1 bath,1.0,2 beds,2 bedrooms,2,2,Dillon,5 guests,21421060,False,True,39.630790000000005,-106.03598999999998,Dillon,5,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Dillon, CO, United States",1,14,1.0,nightly,1.0,98.0,98.0, ,155247051,True,airbnb_rawdata_dillon_20200302.json
38,2.5 baths,2.5,5 beds,3 bedrooms,3,5,Frisco,8 guests,21467740,False,True,39.5725,-106.09261000000001,Frisco,8,22,Entire chalet,entire_home,Entire home/apt,Entire chalet,0,"Frisco, CO, United States",2,60,1.0,nightly,1.0,269.0,269.0, ,197368,True,airbnb_rawdata_frisco_20200304.json
17,1 bath,1.0,3 beds,2 bedrooms,2,3,Silverthorne,6 guests,21550395,False,True,39.62232,-106.09676,Silverthorne,6,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Silverthorne, CO, United States",2,14,0.9,nightly,0.95,170.0,170.0, ,18845661,True,airbnb_rawdata_wildernest_20200227.json
44,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,2 guests,21576050,False,False,39.50134,-106.05848,Breckenridge,2,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Breckenridge, CO, United States",1,1125,1.0,nightly,0.79,75.0,75.0, ,50539398,False,airbnb_rawdata_breckenridge_20200301.json
30,1 bath,1.0,1 bed,1 bedroom,1,1,Frisco,4 guests,21592824,False,False,39.59111,-106.09326000000001,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,14,1.0,nightly,1.0,120.0,120.0, ,135839016,False,airbnb_rawdata_frisco_20200227.json
27,1 bath,1.0,2 beds,1 bedroom,1,2,Breckenridge,4 guests,21643450,False,False,39.483909999999995,-106.0442,Breckenridge,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",1,1125,0.95,nightly,1.0,85.0,85.0, ,1604699,False,airbnb_rawdata_breckenridge_20200229.json
18,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,4 guests,21696433,False,True,39.607240000000004,-105.94273000000001,Dillon,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Dillon, CO, United States",1,45,0.85,nightly,0.9,75.0,75.0, ,157951610,True,airbnb_rawdata_montezuma_20200304.json
47,2 baths,2.0,2 beds,1 bedroom,1,2,Copper Mountain,6 guests,21727096,False,False,39.501529999999995,-106.14756000000001,Copper Mountain,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Copper Mountain, CO, United States",2,1125,1.0,nightly,1.0,98.0,98.0, ,121237060,False,airbnb_rawdata_coppermountain_20200302.json
14,1 bath,1.0,1 bed,Studio,0,1,Breckenridge,2 guests,21752334,False,True,39.476259999999996,-106.05178000000001,Breckenridge,2,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Breckenridge, CO, United States",2,14,1.0,nightly,0.95,55.0,55.0, ,33579595,True,airbnb_rawdata_breckenridge_20200302.json
48,2.5 baths,2.5,6 beds,3 bedrooms,3,6,Keystone,9 guests,21762360,False,False,39.60791,-105.93086000000001,Keystone,9,36,Entire townhouse,entire_home,Entire home/apt,Entire townhouse,0,"Keystone, CO, United States",1,1125,1.0,nightly,1.0,137.0,137.0, ,28055699,False,airbnb_rawdata_montezuma_20200229.json
21,1 bath,1.0,2 beds,1 bedroom,1,2,Keystone,4 guests,21762530,False,False,39.60864,-105.94391999999999,Keystone,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Keystone, CO, United States",1,1125,1.0,nightly,1.0,69.0,69.0, ,28055699,False,airbnb_rawdata_montezuma_20200301.json
9,1 bath,1.0,2 beds,1 bedroom,1,2,Breckenridge,4 guests,21800149,False,True,39.47359,-106.03164,Breckenridge,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Breckenridge, CO, United States",2,1125,1.0,nightly,0.85,84.0,84.0, ,36223369,True,airbnb_rawdata_breckenridge_20200304.json
27,1 bath,1.0,2 beds,Studio,0,2,Dillon,4 guests,21813298,False,True,39.627320000000005,-106.06088999999999,Dillon,4,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Dillon, CO, United States",2,30,1.0,nightly,1.0,130.0,130.0, ,54088523,True,airbnb_rawdata_dillon_20200302.json
47,3 baths,3.0,8 beds,5 bedrooms,5,8,Dillon,16+ guests,21845037,False,True,39.59598,-106.00768000000001,Dillon,16,2,Entire house,entire_home,Entire home/apt,Entire house,0,"Dillon, CO, United States",2,1125,0.79,nightly,0.85,377.0,377.0, ,44998522,True,airbnb_rawdata_summitcove_20200301.json
29,1 bath,1.0,2 beds,1 bedroom,1,2,Frisco,4 guests,21857614,False,True,39.50105,-106.15818999999999,Frisco,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,1125,1.0,nightly,1.0,70.0,70.0, ,151307983,True,airbnb_rawdata_coppermountain_20200303.json
23,1 bath,1.0,3 beds,1 bedroom,1,3,Frisco,6 guests,21859375,False,True,39.50014,-106.14639,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,1125,0.75,nightly,0.9,105.0,105.0, ,791716,True,airbnb_rawdata_coppermountain_20200302.json
10,1 bath,1.0,4 beds,2 bedrooms,2,4,Silverthorne,7 guests,21863336,False,True,39.61962,-106.09908999999999,Silverthorne,7,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,1125,1.0,nightly,1.0,78.0,78.0, ,24715185,True,airbnb_rawdata_wildernest_20200304.json
48,1 bath,1.0,1 bed,1 bedroom,1,1,Silverthorne,1 guest,21876927,False,False,39.633959999999995,-106.07323999999998,Silverthorne,1,45,Room in hostel,hotel_room,Hotel room,Hotel room,0,"Silverthorne, CO, United States",1,1125,1.0,nightly,1.0,71.0,71.0, ,319334,False,airbnb_rawdata_silverthorne_20200303.json
20,3 baths,3.0,2 beds,2 bedrooms,2,2,Dillon,8 guests,21885366,False,True,39.5983,-106.0058,Dillon,8,65,Private room in resort,private_room,Private room,Resort room,0,"Dillon, CO, United States",1,7,1.0,nightly,1.0,179.0,179.0, ,147235139,True,airbnb_rawdata_summitcove_20200302.json
6,1 bath,1.0,2 beds,1 bedroom,1,2,Dillon,3 guests,21924484,False,True,39.62975,-106.04372,Dillon,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",1,1125,0.9,nightly,0.9,85.0,85.0, ,25263370,True,airbnb_rawdata_dillon_20200229.json
41,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,3 guests,21946589,False,False,39.59929,-106.00565,Dillon,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Dillon, CO, United States",2,31,1.0,nightly,1.0,125.0,125.0, ,48963228,False,airbnb_rawdata_summitcove_20200303.json
35,1 bath,1.0,4 beds,2 bedrooms,2,4,Breckenridge,5 guests,21960934,False,True,39.46653,-106.04723,Breckenridge,5,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",2,1125,0.92,nightly,0.96,55.0,55.0, ,97153287,True,airbnb_rawdata_breckenridge_20200301.json
35,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,4 guests,22016755,False,True,39.47315,-106.04563999999999,Breckenridge,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",1,14,1.0,nightly,1.0,109.0,109.0, ,81969695,True,airbnb_rawdata_breckenridge_20200303.json
35,1 bath,1.0,5 beds,1 bedroom,1,5,Frisco,6 guests,22017373,False,True,39.50205,-106.15914,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",1,1125,0.91,nightly,0.97,169.0,169.0, ,160776476,True,airbnb_rawdata_coppermountain_20200302.json
8,1 bath,1.0,2 beds,Studio,0,2,Copper Mountain,4 guests,22036791,False,True,39.49924,-106.14646,Copper Mountain,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Copper Mountain, CO, United States",3,1125,0.95,nightly,0.95,100.0,100.0, ,53327760,True,airbnb_rawdata_coppermountain_20200301.json
3,3 baths,3.0,4 beds,3 bedrooms,3,4,Breckenridge,7 guests,22060907,False,True,39.42971,-106.04551000000001,Breckenridge,7,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,0,"Breckenridge, CO, United States",4,30,1.0,nightly,1.0,309.0,309.0, ,161137572,True,airbnb_rawdata_blueriver_20200302.json
19,1 bath,1.0,2 beds,Studio,0,2,Copper Mountain ,4 guests,22090230,False,True,39.49965,-106.14759,Copper Mountain ,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Copper Mountain , CO, United States",3,1125,0.95,nightly,0.95,100.0,100.0, ,53327760,True,airbnb_rawdata_coppermountain_20200229.json
33,1 bath,1.0,2 beds,1 bedroom,1,2,Blue River,3 guests,22118505,False,False,39.43854,-106.04195,Blue River,3,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Blue River, CO, United States",30,1125,1.0,nightly,1.0,100.0,100.0, ,59232223,False,airbnb_rawdata_blueriver_20200227.json
10,1 bath,1.0,2 beds,1 bedroom,1,2,Silverthorne,4 guests,22154206,False,True,39.61946,-106.10431000000001,Silverthorne,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,1125,1.0,nightly,0.9,129.0,129.0, ,18842059,True,airbnb_rawdata_wildernest_20200301.json
19,2 baths,2.0,3 beds,2 bedrooms,2,3,Blue River,6 guests,22294170,False,True,39.44042,-106.04231999999999,Blue River,6,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,1,"Blue River, CO, United States",2,14,1.0,nightly,0.9,259.0,259.0, ,1173274,True,airbnb_rawdata_blueriver_20200227.json
16,2 baths,2.0,3 beds,1 bedroom,1,3,Frisco,6 guests,22337584,False,True,39.499990000000004,-106.14567,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,30,1.0,nightly,1.0,150.0,150.0, ,35868852,True,airbnb_rawdata_coppermountain_20200227.json
35,1.5 shared baths,1.5,1 bed,1 bedroom,1,1,Dillon,2 guests,22461122,False,True,39.63029,-106.03523,Dillon,2,2,Private room in house,private_room,Private room,Private room,0,"Dillon, CO, United States",1,1125,0.8,nightly,0.89,39.0,39.0, ,139730260,True,airbnb_rawdata_dillon_20200302.json
1,1 bath,1.0,3 beds,Studio,0,3,Frisco,6 guests,22467194,False,False,39.501529999999995,-106.15828,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",3,1125,1.0,nightly,0.81,30.0,30.0, ,39466633,False,airbnb_rawdata_coppermountain_20200304.json
49,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,4 guests,22530669,False,True,39.47769,-106.04626999999999,Breckenridge,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Breckenridge, CO, United States",1,1125,0.65,nightly,0.95,90.0,90.0, ,35710752,True,airbnb_rawdata_breckenridge_20200301.json
45,1 bath,1.0,2 beds,1 bedroom,1,2,Breckenridge,4 guests,22534839,False,False,39.53667,-106.03238,Breckenridge,4,22,Entire chalet,entire_home,Entire home/apt,Entire chalet,0,"Breckenridge, CO, United States",2,180,1.0,nightly,1.0,50.0,50.0, ,163597785,False,airbnb_rawdata_breckenridge_20200302.json
46,1 private bath,1.0,4 beds,1 bedroom,1,4,Frisco,2 guests,22588482,False,True,39.57581,-106.11363999999999,Frisco,2,37,Private room in condominium,private_room,Private room,Private room,0,"Frisco, CO, United States",1,5,1.0,nightly,1.0,70.0,70.0, ,9312991,True,airbnb_rawdata_silverthorne_20200302.json
34,1 bath,1.0,1 bed,1 bedroom,1,1,Keystone,2 guests,22631421,False,False,39.607279999999996,-105.93846,Keystone,2,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Keystone, CO, United States",1,1125,1.0,nightly,1.0,78.0,78.0, ,28055699,False,airbnb_rawdata_montezuma_20200229.json
0,1 bath,1.0,1 bed,1 bedroom,1,1,Dillon,2 guests,22669951,False,True,39.59746,-106.00347,Dillon,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Dillon, CO, United States",2,1125,0.9,nightly,1.0,75.0,75.0, ,12487091,True,airbnb_rawdata_summitcove_20200304.json
34,1 bath,1.0,1 bed,Studio,0,1,Frisco,2 guests,22726840,False,True,39.5816,-106.10732,Frisco,2,53,Entire guest suite,entire_home,Entire home/apt,Entire guest suite,0,"Frisco, CO, United States",2,15,1.0,nightly,0.95,95.0,95.0, ,43632296,True,airbnb_rawdata_silverthorne_20200304.json
5,2 baths,2.0,3 beds,2 bedrooms,2,3,Frisco,6 guests,22733570,False,True,39.57781,-106.10372,Frisco,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Frisco, CO, United States",2,1125,0.75,nightly,0.85,99.0,99.0, ,167820126,True,airbnb_rawdata_frisco_20200303.json
33,2 baths,2.0,4 beds,2 bedrooms,2,4,Silverthorne,6 guests,22814969,False,True,39.620709999999995,-106.10345,Silverthorne,6,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,21,0.47,nightly,0.9,105.0,105.0, ,84068988,True,airbnb_rawdata_wildernest_20200227.json
16,1 private bath,1.0,2 beds,1 bedroom,1,2,Dillon,4 guests,22851415,False,True,39.59448,-106.00804,Dillon,4,2,Private room in house,private_room,Private room,Private room,0,"Dillon, CO, United States",1,1125,0.95,nightly,0.97,86.0,86.0, ,59496524,True,airbnb_rawdata_summitcove_20200301.json
2,1 bath,1.0,2 beds,Studio,0,2,Keystone,4 guests,22880060,False,False,39.607040000000005,-105.94169,Keystone,4,1,Entire apartment,entire_home,Entire home/apt,Entire apartment,0,"Keystone, CO, United States",1,1125,1.0,nightly,1.0,67.0,67.0, ,28055699,False,airbnb_rawdata_montezuma_20200303.json
2,1 private bath,1.0,1 bed,1 bedroom,1,1,Silverthorne,2 guests,23058036,False,True,39.61808,-106.07573000000001,Silverthorne,2,37,Private room in condominium,private_room,Private room,Private room,0,"Silverthorne, CO, United States",1,31,0.95,nightly,0.97,75.0,75.0, ,253187,True,airbnb_rawdata_wildernest_20200302.json
39,2 baths,2.0,5 beds,3 bedrooms,3,5,Silverthorne,8 guests,23091047,False,True,39.63367,-106.07307,Silverthorne,8,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,30,0.85,nightly,0.95,190.0,190.0, ,17530978,True,airbnb_rawdata_silverthorne_20200304.json
21,1 bath,1.0,2 beds,2 bedrooms,2,2,Silverthorne,5 guests,23179215,False,True,39.61765,-106.08245,Silverthorne,5,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",2,60,0.97,nightly,0.99,36.0,36.0, ,172323676,True,airbnb_rawdata_wildernest_20200301.json
46,1 bath,1.0,1 bed,Studio,0,1,Breckenridge,4 guests,23236785,False,True,39.45445,-106.03765,Breckenridge,4,40,Entire guesthouse,entire_home,Entire home/apt,Entire guesthouse,0,"Breckenridge, CO, United States",2,1125,1.0,nightly,0.78,89.0,89.0, ,172865735,True,airbnb_rawdata_blueriver_20200304.json
38,2 baths,2.0,6 beds,4 bedrooms,4,6,Dillon,11 guests,23273440,False,True,39.59503,-106.00622,Dillon,11,2,Entire house,entire_home,Entire home/apt,Entire house,0,"Dillon, CO, United States",2,10,1.0,nightly,1.0,375.0,375.0, ,59496524,True,airbnb_rawdata_summitcove_20200304.json
31,2 baths,2.0,3 beds,2 bedrooms,2,3,Silverthorne,6 guests,23288515,False,True,39.623490000000004,-106.09366999999999,Silverthorne,6,4,Entire cabin,entire_home,Entire home/apt,Entire cabin,0,"Silverthorne, CO, United States",2,11,1.0,nightly,0.8,150.0,150.0, ,173372029,True,airbnb_rawdata_wildernest_20200303.json
43,2 baths,2.0,6 beds,3 bedrooms,3,6,Silverthorne,10 guests,23321862,False,True,39.61844,-106.07675,Silverthorne,10,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Silverthorne, CO, United States",1,30,0.85,nightly,0.9,80.0,80.0, ,173676593,True,airbnb_rawdata_wildernest_20200229.json
45,1 bath,1.0,1 bed,Studio,0,1,Keystone,2 guests,23343114,False,False,39.60804,-105.94434,Keystone,2,35,Entire loft,entire_home,Entire home/apt,Entire loft,0,"Keystone, CO, United States",2,1125,1.0,nightly,1.0,86.0,86.0, ,121237060,False,airbnb_rawdata_montezuma_20200227.json
29,1 bath,1.0,2 beds,Studio,0,2,Breckenridge,4 guests,23360918,False,False,39.4779,-106.04815,Breckenridge,4,37,Entire condominium,entire_home,Entire home/apt,Entire condominium,0,"Breckenridge, CO, United States",3,365,1.0,nightly,1.0,104.0,104.0, ,157447575,False,airbnb_rawdata_breckenridge_20200227.json
